Ahr	Cyp1a1
Ahr	Cyp1a2
Ahr	Cyp1b1
Ahr	Fos
Ahr	Myc
Ahr	Ugt1a6a
Ahr	Ugt1a6b
Ahr	Ugt1a7c
Ahr	Asap1
Ahr	Erg
Ahr	Vgll4
Ar	1700025G04Rik
Ar	Abce1
Ar	Acad10
Ar	Acad12
Ar	Acpp
Ar	Ahsg
Ar	Akr1b3
Ar	Akt1
Ar	Anapc10
Ar	Ap2m1
Ar	Appbp2
Ar	Atf6
Ar	Atm
Ar	Atp2b4
Ar	Babam2
Ar	Banf1
Ar	Btd
Ar	Ccng2
Ar	Cd4
Ar	Cdc6
Ar	Cdh2
Ar	Cdkl5
Ar	Cdkn1a
Ar	Cited2
Ar	Coasy
Ar	Cpt2
Ar	Crisp4
Ar	Dbi
Ar	Ddc
Ar	Ddt
Ar	Dhx15
Ar	Eef1akmt3
Ar	Egfr
Ar	Eif3i
Ar	Elf3
Ar	Erbb3
Ar	Esrra
Ar	Etl4
Ar	Eya2
Ar	Fam13a
Ar	Fam174b
Ar	Fkbp5
Ar	Foxa1
Ar	Fxyd3
Ar	Glrx
Ar	Gnl1
Ar	Grb10
Ar	Gtf2f1
Ar	H2-Bl
Ar	H2-Q5
Ar	Hes1
Ar	Hk2
Ar	Hnrnpa1
Ar	Hsd17b11
Ar	Ifi35
Ar	Igf1r
Ar	Igfbp3
Ar	Il1r1
Ar	Jun
Ar	Kcnh2
Ar	Klf5
Ar	Klk4
Ar	Krt18
Ar	Krt8
Ar	Lifr
Ar	Med1
Ar	Mmp13
Ar	Mrps27
Ar	Mt2
Ar	Muc1
Ar	Myc
Ar	Ncoa2
Ar	Ndrg1
Ar	Nkx3-1
Ar	Nme7
Ar	Npat
Ar	Npepps
Ar	Nup214
Ar	Orm1
Ar	Orm2
Ar	Orm3
Ar	Pex6
Ar	Pgc
Ar	Pigr
Ar	Pin1
Ar	Pin1rt1
Ar	Pmaip1
Ar	Pmepa1
Ar	Pnrc1
Ar	Ppp2r5d
Ar	Prkcd
Ar	Prps1
Ar	Prps1l3
Ar	Ptgs2
Ar	Ptpn9
Ar	Ptprm
Ar	Qsox1
Ar	Rbmx
Ar	Rbmxl1
Ar	Rbpms
Ar	Rela
Ar	Rnase4
Ar	Scap
Ar	Scnn1a
Ar	Sdf2
Ar	Serpinb5
Ar	Serpini1
Ar	Slc25a11
Ar	Smarca2
Ar	Sms
Ar	Snai2
Ar	Sord
Ar	Sox4
Ar	Spdef
Ar	Stk39
Ar	Stxbp2
Ar	Suox
Ar	Susd6
Ar	Tesk1
Ar	Thra
Ar	Tmprss2
Ar	Tnfrsf1a
Ar	Trps1
Ar	Ubc
Ar	Ube2d3
Ar	Vapa
Ar	Vegfa
Ar	Xpa
Ar	Zbtb16
Ar	Zcchc9
Ar	Zfhx4
Arid2	Agtpbp1
Arid2	Atxn7
Arid2	Baz2a
Arid2	Bbx
Arid2	Cacul1
Arid2	Cdk17
Arid2	Chd2
Arid2	Chd9
Arid2	Cpsf6
Arid2	Foxj3
Arid2	Hnrnph1
Arid2	Hnrnpl
Arid2	Jmjd1c
Arid2	Lrp6
Arid2	Map4k5
Arid2	Mllt10
Arid2	Msi2
Arid2	Ncoa2
Arid2	Nfat5
Arid2	Pawr
Arid2	Rbpj
Arid2	Rcor3
Arid2	Siah1a
Arid2	Siah1b
Arid2	Sos1
Arid2	Tial1
Arid2	Tnpo1
Arid2	Usp3
Arid2	Wac
Arid2	Zcchc2
Arid2	Zfp131
Arid3a	Ighv1-11
Arid3a	Ighv1-12
Arid3a	Ighv1-15
Arid3a	Ighv1-16
Arid3a	Ighv1-18
Arid3a	Ighv1-19
Arid3a	Ighv1-20
Arid3a	Ighv1-22
Arid3a	Ighv1-23
Arid3a	Ighv1-24
Arid3a	Ighv1-26
Arid3a	Ighv1-31
Arid3a	Ighv1-34
Arid3a	Ighv1-36
Arid3a	Ighv1-37
Arid3a	Ighv1-39
Arid3a	Ighv1-4
Arid3a	Ighv1-42
Arid3a	Ighv1-43
Arid3a	Ighv1-47
Arid3a	Ighv1-49
Arid3a	Ighv1-5
Arid3a	Ighv1-50
Arid3a	Ighv1-52
Arid3a	Ighv1-53
Arid3a	Ighv1-54
Arid3a	Ighv1-55
Arid3a	Ighv1-56
Arid3a	Ighv1-58
Arid3a	Ighv1-59
Arid3a	Ighv1-61
Arid3a	Ighv1-62-1
Arid3a	Ighv1-62-2
Arid3a	Ighv1-62-3
Arid3a	Ighv1-63
Arid3a	Ighv1-64
Arid3a	Ighv1-66
Arid3a	Ighv1-67
Arid3a	Ighv1-69
Arid3a	Ighv1-7
Arid3a	Ighv1-71
Arid3a	Ighv1-72
Arid3a	Ighv1-74
