Akt1,11651,mmu-miR-21a-5p,MIMAT0000530,transmir,Experimental,High
Arnt,11863,Vegfc,22341,kegg,Experimental,High
Arnt,11863,Pfkfb1,18639,kegg,Experimental,High
Arnt,11863,Pfkfb2,18640,kegg,Experimental,High
Arnt,11863,LOC100042025,100042025,kegg,Experimental,High
Arnt,11863,LOC100048117,100048117,kegg,Experimental,High
Arnt,11863,Angpt1,11600,kegg,Experimental,High
Arnt,11863,Angpt2,11601,kegg,Experimental,High
Arnt,11863,Angpt4,11602,kegg,Experimental,High
Arnt,11863,Aldoa,11674,ucsc,kegg,Experimental,High
Arnt,11863,Bcl2,12043,kegg,Experimental,High
Arnt,11863,Cdkn1a,12575,kegg,Experimental,High
Arnt,11863,Cdkn1b,12576,kegg,Experimental,High
Arnt,11863,Edn1,13614,kegg,Experimental,High
Arnt,11863,Egf,13645,kegg,Experimental,High
Arnt,11863,Eno1,13806,kegg,Experimental,High
Arnt,11863,Eno2,13807,ucsc,kegg,Experimental,High
Arntl,11865,Bhlhe40,20893,kegg,Experimental,High
Arntl,11865,Cry1,12952,kegg,Kegg,biogrid,intact,Experimental,High
Arntl,11865,Cry2,12953,kegg,Kegg,biogrid,intact,Experimental,High
Arntl,11865,Per1,18626,kegg,Kegg,biogrid,Experimental,High
Arntl,11865,Per2,18627,kegg,Kegg,biogrid,intact,Experimental,High
Arntl,11865,Per3,18628,kegg,Kegg,biogrid,Experimental,High
Arntl,11865,Rora,19883,kegg,Experimental,High
Arntl,11865,Rorc,19885,kegg,Experimental,High
Arntl,11865,Nr1d1,217166,kegg,Experimental,High
Arntl,11865,Rorb,225998,kegg,Experimental,High
Arntl,11865,Bhlhe41,79362,kegg,Experimental,High
Atf1,11908,Tgfb2,21808,tred,Experimental,High
Atf1,11908,Eef2,13629,tred,Experimental,High
Atf1,11908,Fos,14281,tred,string,Experimental,High
Atf1,11908,Hspa5,14828,tred,Experimental,High
Atf1,11908,Nr4a1,15370,tred,Experimental,High
Atf1,11908,Nudt1,17766,tred,Experimental,High
Atf1,11908,Pcna,18538,tred,Experimental,High
Atf1,11908,Pdha2,18598,tred,Experimental,High
Atf1,11908,Ptgs2,19225,tred,Experimental,High
Atf1,11908,Rb1,19645,tred,Experimental,High
Atf1,11908,Sfrp4,20379,tred,Experimental,High
Atf1,11908,Slc20a1,20515,tred,Experimental,High
Atf1,11908,Stat3,20848,tred,Experimental,High
Atf1,11908,Tcra,21473,tred,Experimental,High
Atf1,11908,Tgfbr2,21813,tred,Experimental,High
Atf1,11908,Myh10,77579,tred,Experimental,High
Atf1,11908,Osgep,66246,tred,Experimental,High
Atf1,11908,Yy1,22632,tred,Experimental,High
Atf1,11908,Thbs1,21825,tred,Experimental,High
Atf1,11908,Tgm1,21816,tred,Experimental,High
Atf1,11908,Apex1,11792,tred,Experimental,High
Atf1,11908,Brca2,12190,tred,Experimental,High
Atf1,11908,Ccnd3,12445,tred,Experimental,High
Atf1,11908,Cebpb,12608,tred,Experimental,High
Atf1,11908,Cebpd,12609,tred,Experimental,High
Atf2,11909,Npy,109648,kegg,Experimental,High
Atf2,11909,Bdnf,12064,kegg,Experimental,High
Atf2,11909,Bcl2,12043,kegg,Experimental,High
Atf2,11909,Arc,11838,kegg,Experimental,High
Atf2,11909,Pparg,19016,tred,Experimental,High
Atf2,11909,Pdyn,18610,kegg,Experimental,High
Atf2,11909,Pcna,18538,kegg,Experimental,High
Atf2,11909,Mcl1,17210,kegg,Experimental,High
Atf2,11909,Fosb,14282,kegg,Experimental,High
Atf2,11909,Fos,14281,kegg,Experimental,High
Atf2,11909,Crh,12918,kegg,Experimental,High
Atf3,11910,Gcg,14526,tred,Experimental,High
Atf3,11910,Fgf2,14173,tred,Experimental,High
Atf3,11910,Pck1,18534,tred,Experimental,High
Atf4,11911,Bdnf,12064,kegg,Experimental,High
Atf4,11911,Npy,109648,kegg,Experimental,High
Atf4,11911,Arc,11838,kegg,Experimental,High
Atf4,11911,Bcl2,12043,kegg,Experimental,High
Atf4,11911,Crh,12918,kegg,Experimental,High
Atf4,11911,Ddit3,13198,tred,Kegg,Experimental,High
Atf4,11911,Fos,14281,kegg,biogrid,Experimental,High
Atf4,11911,Fosb,14282,kegg,Experimental,High
Atf4,11911,Mcl1,17210,kegg,Experimental,High
Atf4,11911,Pcna,18538,kegg,Experimental,High
Atf4,11911,Pdyn,18610,kegg,Experimental,High
Atf6,226641,Atp2a2,11938,tred,Experimental,High
Atf6b,12915,Bdnf,12064,kegg,Experimental,High
Atf6b,12915,Crh,12918,kegg,Experimental,High
Atf6b,12915,Fos,14281,kegg,Experimental,High
Atf6b,12915,Fosb,14282,kegg,Experimental,High
Atf6b,12915,Bcl2,12043,kegg,Experimental,High
Atf6b,12915,Pdyn,18610,kegg,Experimental,High
Atf6b,12915,Pcna,18538,kegg,Experimental,High
Atf6b,12915,Mcl1,17210,kegg,Experimental,High
Atf6b,12915,Npy,109648,kegg,Experimental,High
Atf6b,12915,Arc,11838,kegg,Experimental,High
Bbc3,170770,Trp53,22059,kegg,Experimental,High
Bcl3,12051,Nfkb1,18033,tred,Experimental,High
Bcl3,12051,Tnf,21926,tred,Experimental,High
Bcl3,12051,Psd,73728,tred,Experimental,High
Bcl6,12053,Slc9a1,20544,tred,Experimental,High
Brca1,12189,Rad51,19361,tred,biogrid,Experimental,High
Brca1,12189,Mad2l1,56150,tred,Experimental,High
Brca1,12189,Xrcc2,57434,tred,Experimental,High
Brca1,12189,Gadd45a,13197,tred,Experimental,High
Brca1,12189,Pou2f1,18986,tred,Experimental,High
Cebpa,12606,Slc2a4,20528,tred,string,Experimental,High
Cebpa,12606,Adipoq,11450,tred,string,Experimental,High
