Akt1,11651,mmu-miR-21a-5p,MIMAT0000530,transmir,Experimental,High
Creb5,231991,Arc,11838,kegg,Experimental,High
Creb5,231991,Aqp2,11827,kegg,Experimental,High
Creb5,231991,Npy,109648,kegg,Experimental,High
Creb5,231991,Bdnf,12064,kegg,Experimental,High
Creb5,231991,Pdyn,18610,kegg,Experimental,High
Creb5,231991,Bcl2,12043,kegg,Experimental,High
Creb5,231991,Pcna,18538,kegg,Experimental,High
Creb5,231991,Mcl1,17210,kegg,Experimental,High
Crebbp,12914,Vegfc,22341,kegg,Experimental,High
Crebbp,12914,Vegfa,22339,kegg,Experimental,High
Crebbp,12914,Tfrc,22042,kegg,Experimental,High
Crebbp,12914,Trf,22041,kegg,Experimental,High
Crebbp,12914,Timp1,21857,kegg,Experimental,High
Crebbp,12914,Tek,21687,kegg,Experimental,High
Crebbp,12914,Hkdc1,216019,kegg,Experimental,High
Crebbp,12914,Hk3,212032,kegg,Experimental,High
Crebbp,12914,Slc2a1,20525,kegg,Experimental,High
Crebbp,12914,Serpine1,18787,kegg,Experimental,High
Crebbp,12914,Pgk1,18655,kegg,Experimental,High
Crebbp,12914,Pgf,18654,kegg,Experimental,High
Crebbp,12914,Pfkl,18641,kegg,Experimental,High
Crebbp,12914,Bcl2,12043,kegg,Experimental,High
Crebbp,12914,Gm5506,433182,kegg,Experimental,High
Crebbp,12914,Pfkfb4,270198,kegg,Experimental,High
Crebbp,12914,Nppa,230899,kegg,Experimental,High
Crebbp,12914,Pdk1,228026,kegg,Experimental,High
Crebbp,12914,Vegfb,22340,kegg,Experimental,High
Crebbp,12914,Pfkfb2,18640,kegg,Experimental,High
Crebbp,12914,Pfkfb1,18639,kegg,Experimental,High
Crebbp,12914,Nos3,18127,kegg,Experimental,High
Crebbp,12914,Aldoa,11674,kegg,Experimental,High
Crebbp,12914,Nos2,18126,kegg,Experimental,High
Crebbp,12914,Mitf,17342,kegg,biogrid,Experimental,High
Crebbp,12914,Pfkfb3,170768,kegg,Experimental,High
Crebbp,12914,Ltbr,17000,kegg,Experimental,High
Crebbp,12914,Ldha,16828,kegg,Experimental,High
Crebbp,12914,Angpt4,11602,kegg,Experimental,High
Crebbp,12914,Hmox1,15368,kegg,Experimental,High
Crebbp,12914,Hk2,15277,kegg,Experimental,High
Crebbp,12914,LOC100042025,100042025,kegg,Experimental,High
Crebbp,12914,Hk1,15275,kegg,Experimental,High
Crebbp,12914,Gapdh,14433,kegg,Experimental,High
Crebbp,12914,LOC100048117,100048117,kegg,Experimental,High
Crebbp,12914,Flt1,14254,kegg,Experimental,High
Crebbp,12914,Figf,14205,kegg,Experimental,High
Crebbp,12914,Fasl,14103,kegg,Experimental,High
Crebbp,12914,Angpt1,11600,kegg,Experimental,High
Crebbp,12914,Angpt2,11601,kegg,Experimental,High
Crebbp,12914,Epo,13856,kegg,Experimental,High
Crebbp,12914,Eno3,13808,kegg,Experimental,High
Crebbp,12914,Eno2,13807,kegg,Experimental,High
Crebbp,12914,Eno1,13806,kegg,Experimental,High
Crebbp,12914,Egf,13645,kegg,Experimental,High
Crebbp,12914,Edn1,13614,kegg,Experimental,High
Crebbp,12914,Cdkn2b,12579,kegg,Experimental,High
Crebbp,12914,Cdkn1b,12576,kegg,Experimental,High
Crebbp,12914,Cdkn1a,12575,kegg,Experimental,High
Crem,12916,Star,20845,tred,Experimental,High
Ctnnb1,12387,Ccnd1,12443,kegg,biogrid,string,Experimental,High
Ctnnb1,12387,Ccnd2,12444,kegg,string,Experimental,High
Ctnnb1,12387,Ccnd3,12445,kegg,Experimental,High
Ddit3,13198,mmu-miR-708-3p,MIMAT0003498,transmir,Experimental,High
Ddit3,13198,mmu-miR-708-5p,MIMAT0004828,transmir,Experimental,High
E2f1,13555,Bfsp1,12075,tred,Experimental,High
E2f1,13555,A930017K11Rik,100034748,tred,Experimental,High
E2f1,13555,Vmn1r239-ps,100504631,tred,Experimental,High
E2f1,13555,Chmp7,105513,tred,Experimental,High
E2f1,13555,Vmn1r42,113848,tred,Experimental,High
E2f1,13555,Vmn1r53,113853,tred,Experimental,High
E2f1,13555,Vmn1r40,113855,tred,Experimental,High
E2f1,13555,Adh7,11529,tred,Experimental,High
E2f1,13555,Apex1,11792,tred,Experimental,High
E2f1,13555,Arl4a,11861,tred,Experimental,High
E2f1,13555,Atp2a2,11938,tred,Experimental,High
E2f1,13555,Brca1,12189,ensembl,tred,Experimental,High
E2f1,13555,Bsg,12215,tred,Experimental,High
E2f1,13555,Ccne1,12447,ensembl,tred,kegg,Experimental,High
E2f1,13555,Ccne2,12448,ensembl,kegg,Experimental,High
E2f1,13555,Ccng2,12452,tred,Experimental,High
E2f1,13555,Cd8b1,12526,tred,Experimental,High
E2f1,13555,Cdc45,12544,ensembl,tred,Experimental,High
E2f1,13555,Cdkn2a,12578,tred,Experimental,High
E2f1,13555,Socs3,12702,ensembl,tred,Experimental,High
E2f1,13555,Ckb,12709,tred,Experimental,High
E2f1,13555,Clock,12753,tred,Experimental,High
E2f1,13555,Dhfr,13361,ensembl,tred,string,Experimental,High
E2f1,13555,Dlx1,13390,tred,Experimental,High
E2f1,13555,E2f1,13555,ucsc,ensembl,tred,Experimental,High
E2f1,13555,Fzd1,14362,tred,Experimental,High
E2f1,13555,Gas1,14451,tred,Experimental,High
E2f1,13555,Gbx2,14472,ucsc,tred,Experimental,High
E2f1,13555,Hist2h3c1,15077,tred,Experimental,High
E2f1,13555,H2afx,15270,ucsc,ensembl,tred,Experimental,High
E2f1,13555,Hoxa13,15398,tred,Experimental,High
E2f1,13555,Hoxa4,15401,tred,Experimental,High
E2f1,13555,Trmt2a,15547,tred,Experimental,High
E2f1,13555,Igf2,16002,ucsc,tred,Experimental,High
E2f1,13555,Igh-VJ558,16061,tred,Experimental,High
E2f1,13555,Kif21b,16565,tred,Experimental,High
E2f1,13555,Psmb9,16912,tred,Experimental,High
E2f1,13555,Vmn1r229,171224,tred,Experimental,High
E2f1,13555,Vmn1r227,171229,tred,Experimental,High
E2f1,13555,Mbd1,17190,tred,Experimental,High
E2f1,13555,Mbd2,17191,ucsc,tred,Experimental,High
E2f1,13555,Mc2r,17200,tred,Experimental,High
E2f1,13555,Myb,17863,tred,Experimental,High
E2f1,13555,Mybl2,17865,ucsc,tred,string,Experimental,High
E2f1,13555,Myl2,17906,tred,Experimental,High
E2f1,13555,Mycn,18109,ucsc,ensembl,tred,Experimental,High
E2f1,13555,Nppc,18159,tred,Experimental,High
E2f1,13555,Nsdhl,18194,tred,Experimental,High
E2f1,13555,Pcna,18538,tred,string,Experimental,High
E2f1,13555,Pola1,18968,tred,string,Experimental,High
E2f1,13555,Pola2,18969,ucsc,ensembl,tred,Experimental,High
E2f1,13555,Rabggtb,19352,tred,Experimental,High
E2f1,13555,Ranbp1,19385,ucsc,ensembl,tred,Experimental,High
E2f1,13555,Rel,19696,tred,Experimental,High
E2f1,13555,Rela,19697,ensembl,tred,Experimental,High
E2f1,13555,Rpl30,19946,ensembl,tred,Experimental,High
E2f1,13555,Polr2a,20020,tred,Experimental,High
E2f1,13555,Rps7,20115,ensembl,tred,Experimental,High
E2f1,13555,Rrm2,20135,ensembl,tred,string,Experimental,High
E2f1,13555,S100a9,20202,tred,Experimental,High
E2f1,13555,Sf3a2,20222,tred,Experimental,High
E2f1,13555,Nkx1-2,20231,tred,Experimental,High
E2f1,13555,Sst,20604,tred,Experimental,High
E2f1,13555,Lrrc25,211228,tred,Experimental,High
E2f1,13555,Lactb2,212442,tred,Experimental,High
E2f1,13555,Fbxl21,213311,tred,Experimental,High
E2f1,13555,Tapbp,21356,tred,Experimental,High
E2f1,13555,Tgfbi,21810,tred,Experimental,High
E2f1,13555,Timp3,21859,tred,Experimental,High
E2f1,13555,tk,21874,tred,Experimental,High
E2f1,13555,Tkt,21881,tred,Experimental,High
E2f1,13555,Trp53-ps,22060,tred,Experimental,High
E2f1,13555,Tsg101,22088,tred,Experimental,High
E2f1,13555,Dync1li2,234663,tred,Experimental,High
E2f1,13555,Olfr1104,258763,tred,Experimental,High
E2f1,13555,Olfr1378,258912,tred,Experimental,High
E2f1,13555,Olfr808,258930,tred,Experimental,High
E2f1,13555,Cetn2,26370,tred,Experimental,High
E2f1,13555,Lsm2,27756,ensembl,tred,Experimental,High
E2f1,13555,Slc39a1,30791,tred,Experimental,High
E2f1,13555,Slc25a48,328258,tred,Experimental,High
E2f1,13555,Crim1,50766,tred,Experimental,High
E2f1,13555,Rab11a,53869,tred,Experimental,High
E2f1,13555,Ctsf,56464,tred,Experimental,High
E2f1,13555,Cldn9,56863,tred,Experimental,High
E2f1,13555,Zfp169,67911,tred,Experimental,High
E2f1,13555,Arl14,71619,tred,Experimental,High
E2f1,13555,2010106C02Rik,72104,tred,Experimental,High
E2f1,13555,Rcc1,100088,tred,Experimental,High
E2f2,242705,Vmn1r42,113848,tred,Experimental,High
E2f2,242705,2010106C02Rik,72104,tred,Experimental,High
E2f2,242705,Arl14,71619,tred,Experimental,High
E2f2,242705,Zfp169,67911,tred,Experimental,High
E2f2,242705,Cldn9,56863,tred,Experimental,High
E2f2,242705,Crim1,50766,tred,Experimental,High
E2f2,242705,Slc25a48,328258,tred,Experimental,High
E2f2,242705,Olfr808,258930,tred,Experimental,High
E2f2,242705,Olfr1378,258912,tred,Experimental,High
E2f2,242705,Olfr1104,258763,tred,Experimental,High
E2f2,242705,Dync1li2,234663,tred,Experimental,High
E2f2,242705,Tgfbi,21810,tred,Experimental,High
E2f2,242705,Fbxl21,213311,tred,Experimental,High
E2f2,242705,Lactb2,212442,tred,Experimental,High
E2f2,242705,Mc2r,17200,tred,Experimental,High
E2f2,242705,Vmn1r227,171229,tred,Experimental,High
E2f2,242705,Ccne1,12447,kegg,Experimental,High
E2f2,242705,Vmn1r229,171224,tred,Experimental,High
E2f2,242705,Kif21b,16565,tred,Experimental,High
E2f2,242705,Rel,19696,tred,Experimental,High
E2f2,242705,Igh-VJ558,16061,tred,Experimental,High
E2f2,242705,Fzd1,14362,tred,Experimental,High
E2f2,242705,Ccne2,12448,kegg,Experimental,High
E2f2,242705,Myl2,17906,tred,Experimental,High
E2f2,242705,S100a9,20202,tred,Experimental,High
E2f2,242705,Rcc1,100088,tred,Experimental,High
E2f2,242705,Vmn1r239-ps,100504631,tred,Experimental,High
E2f2,242705,Chmp7,105513,tred,Experimental,High
E2f2,242705,Rabggtb,19352,tred,Experimental,High
E2f2,242705,Sst,20604,tred,Experimental,High
E2f2,242705,Vmn1r40,113855,tred,Experimental,High
E2f2,242705,Vmn1r53,113853,tred,Experimental,High
E2f2,242705,Lrrc25,211228,tred,Experimental,High
E2f2,242705,Adh7,11529,tred,Experimental,High
E2f2,242705,A930017K11Rik,100034748,tred,Experimental,High
E2f3,13557,Ccne2,12448,kegg,Experimental,High
E2f3,13557,Ccne1,12447,kegg,Experimental,High
E2f4,104394,Myc,17869,kegg,Experimental,High
E2f5,13559,Myc,17869,kegg,Experimental,High
Egr1,13653,Met,17295,tred,Experimental,High
Egr1,13653,Nol3,78688,tred,Experimental,High
Egr1,13653,Ache,11423,tred,Experimental,High
Egr1,13653,Cacna1e,12290,tred,Experimental,High
Egr1,13653,Cbx2,12416,tred,Experimental,High
Egr1,13653,Col1a2,12843,tred,Experimental,High
Egr1,13653,Ctsl,13039,tred,Experimental,High
Egr1,13653,Egr1,13653,ucsc,tred,biogrid,Experimental,High
Egr1,13653,F3,14066,tred,Experimental,High
Egr1,13653,Fas,14102,tred,Experimental,High
Egr1,13653,Fasl,14103,tred,Experimental,High
Egr1,13653,Fgfr3,14184,tred,Experimental,High
Egr1,13653,Flt3,14255,tred,Experimental,High
Egr1,13653,Gad1,14415,tred,Experimental,High
Egr1,13653,Galk1,14635,tred,Experimental,High
Egr1,13653,Hmox1,15368,tred,Experimental,High
Egr1,13653,Icam1,15894,tred,Experimental,High
Egr1,13653,Ifngr2,15980,ucsc,tred,Experimental,High
Egr1,13653,Cyr61,16007,tred,Experimental,High
Egr1,13653,Lhb,16866,tred,Experimental,High
Egr1,13653,Mmp14,17387,tred,Experimental,High
Egr1,13653,Myc,17869,tred,Experimental,High
Egr1,13653,Olfr54,18354,tred,Experimental,High
Egr1,13653,Prkar1b,19085,tred,Experimental,High
Egr1,13653,Ccl5,20304,kegg,Experimental,High
Egr1,13653,Spint1,20732,ucsc,tred,Experimental,High
Egr1,13653,Srf,20807,tred,Experimental,High
Egr1,13653,Thbs1,21825,tred,Experimental,High
Egr1,13653,Tnf,21926,tred,Experimental,High
Egr1,13653,Twist1,22160,tred,Experimental,High
Egr1,13653,Vegfb,22340,tred,Experimental,High
Egr1,13653,Tubb4b,227613,tred,Experimental,High
Egr2,13654,Fas,14102,tred,Experimental,High
Egr2,13654,Cacna1e,12290,tred,Experimental,High
Egr2,13654,Ddx20,53975,tred,Experimental,High
Egr2,13654,Spint1,20732,ucsc,tred,Experimental,High
Egr2,13654,Hoxa4,15401,tred,Experimental,High
Egr2,13654,Hoxa2,15399,tred,Experimental,High
Egr2,13654,Fasl,14103,ucsc,tred,kegg,Experimental,High
Egr2,13654,Hoxb2,103889,tred,Experimental,High
Egr2,13654,Ctsl,13039,tred,Experimental,High
Egr3,13655,Spint1,20732,tred,Experimental,High
Egr3,13655,Ctsl,13039,tred,Experimental,High
Egr3,13655,Fasl,14103,tred,kegg,string,Experimental,High
Elk1,13712,Sin3a,20466,tred,Experimental,High
Elk1,13712,Egr1,13653,kegg,Experimental,High
Elk1,13712,Ccnd3,12445,kegg,Experimental,High
Elk1,13712,Ccnd2,12444,kegg,Experimental,High
Elk1,13712,Ccnd1,12443,kegg,Experimental,High
Elk1,13712,Xiap,11798,kegg,Experimental,High
Elk1,13712,Birc2,11797,kegg,Experimental,High
Elk1,13712,Birc3,11796,kegg,Experimental,High
Elk1,13712,Fos,14281,kegg,Experimental,High
Elk3,13713,Nos2,18126,tred,Experimental,High
Elk4,13714,Fos,14281,kegg,Experimental,High
Ep300,328572,Cdkn1a,12575,kegg,Experimental,High
Ep300,328572,LOC100042025,100042025,kegg,Experimental,High
Ep300,328572,LOC100048117,100048117,kegg,Experimental,High
Ep300,328572,Angpt1,11600,kegg,Experimental,High
Ep300,328572,Angpt2,11601,kegg,Experimental,High
Ep300,328572,Angpt4,11602,kegg,Experimental,High
Ep300,328572,Aldoa,11674,kegg,Experimental,High
Ep300,328572,Bcl2,12043,kegg,Experimental,High
Ep300,328572,Cdkn1b,12576,kegg,Experimental,High
Ep300,328572,Cdkn2b,12579,kegg,Experimental,High
Ep300,328572,Edn1,13614,kegg,Experimental,High
Ep300,328572,Egf,13645,kegg,Experimental,High
Ep300,328572,Eno1,13806,kegg,Experimental,High
Ep300,328572,Eno2,13807,kegg,Experimental,High
Ep300,328572,Eno3,13808,kegg,Experimental,High
Ep300,328572,Epo,13856,kegg,Experimental,High
Ep300,328572,Fasl,14103,kegg,Experimental,High
Ep300,328572,Figf,14205,kegg,Experimental,High
Ep300,328572,Flt1,14254,kegg,Experimental,High
Ep300,328572,Gapdh,14433,kegg,Experimental,High
Ep300,328572,Hk1,15275,kegg,Experimental,High
Ep300,328572,Hk2,15277,kegg,Experimental,High
Ep300,328572,Hmox1,15368,kegg,Experimental,High
Ep300,328572,Ldha,16828,kegg,Experimental,High
Ep300,328572,Ltbr,17000,kegg,Experimental,High
Ep300,328572,Pfkfb3,170768,kegg,Experimental,High
Ep300,328572,Mitf,17342,kegg,Experimental,High
Ep300,328572,Nos2,18126,kegg,Experimental,High
Ep300,328572,Nos3,18127,kegg,Experimental,High
Ep300,328572,Pfkfb1,18639,kegg,Experimental,High
Ep300,328572,Pfkfb2,18640,kegg,Experimental,High
Ep300,328572,Pfkl,18641,kegg,Experimental,High
Ep300,328572,Pgf,18654,kegg,Experimental,High
Ep300,328572,Pgk1,18655,kegg,Experimental,High
Ep300,328572,Serpine1,18787,kegg,Experimental,High
Ep300,328572,Slc2a1,20525,kegg,Experimental,High
Ep300,328572,Hk3,212032,kegg,Experimental,High
Ep300,328572,Hkdc1,216019,kegg,Experimental,High
Ep300,328572,Tek,21687,kegg,Experimental,High
Ep300,328572,Timp1,21857,kegg,Experimental,High
Ep300,328572,Trf,22041,kegg,Experimental,High
Ep300,328572,Tfrc,22042,kegg,Experimental,High
Ep300,328572,Vegfa,22339,kegg,intact,string,Experimental,High
Ep300,328572,Vegfb,22340,kegg,Experimental,High
Ep300,328572,Vegfc,22341,kegg,Experimental,High
Ep300,328572,Pdk1,228026,kegg,Experimental,High
Ep300,328572,Nppa,230899,kegg,Experimental,High
Ep300,328572,Pfkfb4,270198,kegg,Experimental,High
Ep300,328572,Gm5506,433182,kegg,Experimental,High
Epas1,13819,Flt1,14254,tred,Experimental,High
Epas1,13819,Vegfb,22340,kegg,Experimental,High
Epas1,13819,Pdgfb,18591,kegg,Experimental,High
Epas1,13819,Pdgfa,18590,kegg,Experimental,High
Epas1,13819,Kdr,16542,tred,Experimental,High
Epas1,13819,Ikbkg,16151,tred,Experimental,High
Epas1,13819,Vegfc,22341,kegg,Experimental,High
Epas1,13819,Figf,14205,kegg,Experimental,High
Epas1,13819,Vegfa,22339,tred,kegg,Experimental,High
Epas1,13819,Tgfb3,21809,kegg,Experimental,High
Epas1,13819,Tgfb2,21808,kegg,Experimental,High
Epas1,13819,Tgfb1,21803,kegg,Experimental,High
Epas1,13819,Tgfa,21802,kegg,Experimental,High
Epas1,13819,Tek,21687,tred,Experimental,High
Epas1,13819,Retnla,57262,tred,Experimental,High
Epas1,13819,Slc2a1,20525,kegg,Experimental,High
Epas1,13819,Pgf,18654,kegg,Experimental,High
Erg,13876,Setdb1,84505,tred,biogrid,Experimental,High
Erg,13876,Cdh5,12562,tred,Experimental,High
Erg,13876,Vwf,22371,tred,Experimental,High
Erg,13876,Vim,22352,tred,Experimental,High
Erg,13876,Col11a2,12815,tred,Experimental,High
Esr1,13982,Hgf,15234,tred,Experimental,High
Esr1,13982,mmu-miR-375-3p,MIMAT0000739,transmir,Experimental,High
Esr1,13982,H19,14955,tred,Experimental,High
Esr1,13982,Apoe,11816,tred,Experimental,High
Esr1,13982,Grip1,74053,tred,Experimental,High
Esr1,13982,Atp2b1,67972,kegg,Experimental,High
Esr1,13982,Mogs,57377,tred,Experimental,High
Esr1,13982,Lgals12,56072,tred,Experimental,High
Esr1,13982,Nr0b2,23957,tred,Experimental,High
Esr1,13982,Tnfsf11,21943,tred,Experimental,High
Esr1,13982,Slc8a1,20541,kegg,Experimental,High
Esr1,13982,Rdh16,19683,tred,Experimental,High
Esr1,13982,Trpv5,194352,kegg,Experimental,High
Esr1,13982,Prl,19109,tred,Experimental,High
Esr1,13982,Prkca,18750,tred,Experimental,High
Esr1,13982,Pgr,18667,tred,biogrid,Experimental,High
Esr1,13982,Tnfrsf11b,18383,tred,Experimental,High
Esr1,13982,Notch1,18128,tred,Experimental,High
Esr1,13982,Nos2,18126,tred,Experimental,High
Esr1,13982,Ncoa2,17978,tred,biogrid,Experimental,High
Esr1,13982,Met,17295,tred,Experimental,High
Esr1,13982,Mdm2,17246,tred,Experimental,High
Esr1,13982,Ltf,17002,tred,Experimental,High
Esr1,13982,Jag1,16449,tred,Experimental,High
Esr1,13982,Isl1,16392,tred,Experimental,High
Esr1,13982,Abca1,11303,tred,Experimental,High
Esr1,13982,Grin2d,14814,tred,Experimental,High
Esr1,13982,Ggta1,14594,tred,Experimental,High
Esr1,13982,Gal,14419,tred,Experimental,High
Esr1,13982,Egr1,13653,tred,Experimental,High
Esr1,13982,Csk,12988,tred,Experimental,High
Esr1,13982,Calb1,12307,kegg,Experimental,High
Esr1,13982,Bmp2,12156,tred,Experimental,High
Esr1,13982,Avp,11998,tred,Experimental,High
Esr2,13983,Abca1,11303,tred,Experimental,High
Ets1,23871,Krt18,16668,tred,Experimental,High
Ets1,23871,Kdr,16542,tred,Experimental,High
Ets1,23871,Itgb3,16416,tred,Experimental,High
Ets1,23871,Itgav,16410,tred,Experimental,High
Ets1,23871,Itga3,16400,tred,Experimental,High
Ets1,23871,Il3ra,16188,tred,Experimental,High
Ets1,23871,Il12b,16160,tred,Experimental,High
Ets1,23871,Cd79b,15985,tred,Experimental,High
Ets1,23871,Elavl1,15568,tred,Experimental,High
Ets1,23871,Hbegf,15200,tred,Experimental,High
Ets1,23871,Ggh,14590,tred,Experimental,High
Ets1,23871,Gata1,14460,tred,Experimental,High
Ets1,23871,Flii,14248,tred,Experimental,High
Ets1,23871,Fli1,14247,tred,Experimental,High
Ets1,23871,Fgl2,14190,tred,Experimental,High
Ets1,23871,Fcgrt,14132,tred,Experimental,High
Ets1,23871,Ecm1,13601,tred,Experimental,High
Ets1,23871,Pcyt1a,13026,tred,Experimental,High
Ets1,23871,Csf2,12981,tred,Experimental,High
Ets1,23871,Cdh5,12562,tred,Experimental,High
Ets1,23871,Cd5,12507,tred,string,Experimental,High
Ets1,23871,Car5a,12352,tred,Experimental,High
Ets1,23871,Nr2f2,11819,tred,Experimental,High
Ets1,23871,Sgpp1,81535,tred,Experimental,High
Ets1,23871,Nol3,78688,tred,Experimental,High
Ets1,23871,Pf4,56744,tred,Experimental,High
Ets1,23871,B3galt4,54218,tred,Experimental,High
Ets1,23871,Rdh7,54150,tred,Experimental,High
Ets1,23871,Atp2a3,53313,tred,Experimental,High
Ets1,23871,Elane,50701,tred,Experimental,High
Ets1,23871,Ebi3,50498,tred,Experimental,High
Ets1,23871,Zfp354c,30944,tred,Experimental,High
Ets1,23871,Rnf11,29864,tred,Experimental,High
Ets1,23871,Ncdn,26562,tred,Experimental,High
Ets1,23871,Mapk3,26417,tred,Kegg,string,Experimental,High
Ets1,23871,Mapk1,26413,tred,Kegg,Experimental,High
Ets1,23871,Wap,22373,tred,Experimental,High
Ets1,23871,Vwf,22371,tred,Experimental,High
Ets1,23871,Tnfrsf8,21941,tred,Experimental,High
Ets1,23871,Tnfrsf10b,21933,tred,Experimental,High
Ets1,23871,Timp1,21857,tred,Experimental,High
Ets1,23871,Tie1,21846,tred,Experimental,High
Ets1,23871,Thy1,21838,tred,Experimental,High
Ets1,23871,Tgfbr2,21813,tred,Experimental,High
Ets1,23871,Dntt,21673,tred,Experimental,High
Ets1,23871,Tcra,21473,tred,Experimental,High
Ets1,23871,Tal1,21349,tred,string,Experimental,High
Ets1,23871,Srf,20807,tred,Experimental,High
Ets1,23871,Spp1,20750,tred,Experimental,High
Ets1,23871,Sh2d1a,20400,tred,Experimental,High
Ets1,23871,Ccl3,20302,tred,Experimental,High
Ets1,23871,Pthlh,19227,tred,string,Experimental,High
Ets1,23871,Ptgs2,19225,tred,string,Experimental,High
Ets1,23871,Psen1,19164,tred,Experimental,High
Ets1,23871,Prtn3,19152,tred,Experimental,High
Ets1,23871,Eif2ak2,19106,tred,Experimental,High
Ets1,23871,Plau,18792,tred,string,Experimental,High
Ets1,23871,Pkd1,18763,tred,Experimental,High
Ets1,23871,Prf1,18646,tred,Experimental,High
Ets1,23871,Igbp1,18518,tred,Experimental,High
Ets1,23871,Oprd1,18386,tred,Experimental,High
Ets1,23871,Myc,17869,tred,Experimental,High
Ets1,23871,Mrc1,17533,tred,Experimental,High
Ets1,23871,Mmp9,17395,tred,Experimental,High
Ets1,23871,Mmp3,17392,tred,string,Experimental,High
Ets1,23871,Mmp2,17390,tred,string,Experimental,High
Ets1,23871,Mmp14,17387,tred,Experimental,High
Ets1,23871,Mmp13,17386,tred,Experimental,High
Ets1,23871,Mef2a,17258,tred,Experimental,High
Ets1,23871,Anpep,16790,tred,Experimental,High
Ets1,23871,Krt8,16691,tred,Experimental,High
Ets1,23871,Kit,16590,tred,Experimental,High
Ets2,23872,Tie1,21846,tred,Experimental,High
Etv4,18612,Btk,12229,tred,Experimental,High
Etv4,18612,Car5a,12352,tred,Experimental,High
Etv4,18612,Cbx2,12416,tred,Experimental,High
Etv4,18612,Ccnd2,12444,tred,Experimental,High
Etv4,18612,Fgfr1,14182,tred,Experimental,High
Etv4,18612,Fgfr2,14183,tred,Experimental,High
Etv4,18612,Fgfr3,14184,tred,Experimental,High
Etv4,18612,Fgfr4,14186,tred,Experimental,High
Etv4,18612,Gba,14466,tred,Experimental,High
Etv4,18612,Gpx5,14780,tred,Experimental,High
Etv4,18612,Hfe,15216,tred,Experimental,High
Etv4,18612,Krt8,16691,tred,Experimental,High
Etv4,18612,Cdk1,12534,tred,Experimental,High
Etv4,18612,Cd5,12507,tred,Experimental,High
Etv4,18612,Agtr2,11609,tred,Experimental,High
Etv4,18612,Bdkrb1,12061,tred,Experimental,High
Etv4,18612,Sgpp1,81535,tred,Experimental,High
Etv4,18612,Setd1a,233904,tred,Experimental,High
Etv4,18612,Slc26a1,231583,tred,Experimental,High
Etv4,18612,Zhx1,22770,tred,Experimental,High
Etv4,18612,Vim,22352,tred,Experimental,High
Etv4,18612,Timp1,21857,tred,Experimental,High
Etv4,18612,T,20997,tred,Experimental,High
Etv4,18612,Srf,20807,tred,Experimental,High
Etv4,18612,Spp1,20750,tred,Experimental,High
Etv4,18612,Sat1,20229,tred,Experimental,High
Etv4,18612,Rpl32,19951,tred,Experimental,High
Etv4,18612,Psen1,19164,tred,Experimental,High
Etv4,18612,Plau,18792,tred,Experimental,High
Etv4,18612,Pcna,18538,tred,Experimental,High
Etv4,18612,Pax8,18510,tred,Experimental,High
Etv4,18612,Mmp9,17395,tred,Experimental,High
Etv4,18612,Mmp3,17392,tred,Experimental,High
Etv4,18612,Mmp2,17390,tred,Experimental,High
Etv4,18612,Mmp13,17386,tred,Experimental,High
Etv4,18612,Man2b1,17159,tred,Experimental,High
Etv4,18612,Madcam1,17123,tred,Experimental,High
Etv4,18612,Ldb1,16825,tred,Experimental,High
Etv4,18612,Crisp1,11571,tred,Experimental,High
Fli1,14247,Cebpa,12606,tred,Experimental,High
Fos,14281,Vegfc,22341,kegg,Experimental,High
Fos,14281,Ccnd1,12443,kegg,Kegg,string,Experimental,High
Fos,14281,Cdk4,12567,kegg,Experimental,High
Fos,14281,Figf,14205,kegg,Experimental,High
Fos,14281,Mmp2,17390,kegg,Experimental,High
Fos,14281,Mmp9,17395,kegg,Experimental,High
Fos,14281,Pgf,18654,kegg,Experimental,High
Fos,14281,Th,21823,tred,Experimental,High
Fos,14281,Vegfa,22339,kegg,Experimental,High
Fos,14281,Vegfb,22340,kegg,Experimental,High
Fos,14281,LOC640611,640611,kegg,Experimental,High
Fos,14281,Mmp1a,83995,kegg,Experimental,High
Fos,14281,Mmp1b,83996,kegg,Experimental,High
Fosb,14282,Rela,19697,kegg,Experimental,High
Fosb,14282,Nfkb1,18033,kegg,Experimental,High
Fosb,14282,Gria2,14800,kegg,Experimental,High
Fosb,14282,Fos,14281,kegg,Experimental,High
Fosb,14282,Cdk5,12568,kegg,Experimental,High
Foxa2,15376,Pdx1,18609,kegg,Experimental,High
Foxo1,56458,G6pc,14377,kegg,Experimental,High
Foxo1,56458,Fbp2,14120,kegg,Experimental,High
Foxo1,56458,G6pc2,14378,kegg,Experimental,High
Foxo1,56458,Pck1,18534,kegg,Experimental,High
Foxo1,56458,Pck2,74551,kegg,Experimental,High
Foxo1,56458,Fbp1,14121,kegg,Experimental,High
Foxo3,56484,Pck2,74551,kegg,Experimental,High
Foxo3,56484,Bcl2l11,12125,kegg,Experimental,High
Foxo3,56484,Cdkn1b,12576,kegg,Experimental,High
Foxo3,56484,Fasl,14103,kegg,Experimental,High
Foxo3,56484,G6pc,14377,kegg,Experimental,High
Foxo3,56484,G6pc2,14378,kegg,Experimental,High
Foxo3,56484,Pck1,18534,kegg,Experimental,High
Foxo3,56484,Rbl2,19651,kegg,Experimental,High
Gfi1,14581,mmu-miR-21a-5p,MIMAT0000530,transmir,Experimental,High
